Date,HS DIP,HS Nozzle 1,HS Nozzle 2,HS Nozzle 3,MS DIP,MS Nozzle 1,MS Nozzle 2,XP DIP,XP Nozzle 1,HS Stock Volume,MS Stock Volume,XP Stock Volume,Physical Stock,Opening Stock,HS Opening Stock,MS Opening Stock,XP Opening Stock
2024-03-01,104.1,2345324.5,1570135.2,469058.6,30.2,743951.2,1226032.87,60.4,76813.9,10662.1,1907.2,5129.2,,,13926.1,5070.3,5271.8
2024-03-02,120.7,2346323.1,1572196.0,469264.9,130.8,746046.6,1227162.0,58.9,76997.0,12823.3,1898.1,4940.6,,,10662.1,1907.2,5129.2
2024-03-03,102.7,2347522.5,1573641.0,469493.3,109.8,747692.8,1228255.7,57,77225.5,10478.7,11393.7,4940.6,,,12823.3,1898.1,4940.6
2024-03-04,80.6,2348874.7,1574446.3,469713.1,85.0,749308.3,1229321.4,55.84,77345.9,7606.5,8181.0,4592.0,,,10478.7,11393.7,4940.6
2024-03-05,59.1,2350662.0,1575378.0,469860.8,61.6,751144.9,1230729.2,54.4,77448.3,4976.7,5271.8,4419.2,,,7606.5,8181.0,4592.0
2024-03-06,106.2,2352485.0,1575849.3,470301.0,77.4,753024.2,1231820.1,93.6,77636.3,10936.2,7213.4,9279.0,,,4976.7,5271.8,4419.2
2024-03-07,89.9,2354676.2,1577186.5,470648.3,55.8,755002.5,1232911.1,92.74,77700.1,8812.1,4580.5,9175.0,,,10936.2,7213.4,9279.0
2024-03-08,99.2,2356232.2,1577722.3,470703.4,70.2,756630.0,1233966.8,91.3,77800.4,10021.2,6314.6,8981.0,,,8812.1,4580.5,9175.0
2024-03-09,123.2,2357638.4,1580012.9,470852.5,85.9,758515.3,1235324.8,90.6,78003.6,13145.8,8296.2,8889.5,,,10021.2,6314.6,8981.0
2024-03-10,96.8,2358657.3,1580579.8,470982.9,62.6,760327.6,1236533.2,89.9,78087.3,9695.0,5391.4,8812.1,,,13145.8,8296.2,8889.5
2024-03-11,74.9,2360980.4,1581264.4,471402.6,35.5,762117.2,1237667.5,89.0,78233.2,6899.5,2409.5,8696.0,,,9695.0,5391.4,8812.1
2024-03-12,92.0,2362523.35,1582561.9,471550.3,91.4,763838.4,1239018.5,87.0,78336.2,9084.0,9007.0,8438.0,,,6899.5,2409.5,8696.0
2024-03-13,105.2,2364523.2,1582964.8,471838.3,67.2,766080.4,1240089.2,86.9,78578.9,10805.2,5947.4,8424.2,,,9084.0,9007.0,8438.0
2024-03-14,81.9,2366511.8,1584039.9,471957.9,42.0,768124.2,1241198.2,85.5,78633.3,7784.3,3069.0,8245.0,,,10805.2,5947.4,8424.2
2024-03-15,104.6,2368902.7,1584592.9,472059.9,100.3,769936.6,1242234.0,122.9,78787.9,10714.5,10152.2,13107.1,,,7784.3,3069.0,8245.0
2024-03-16,78.2,2370306.7,1585165.2,472132.1,75.0,771537.0,1243500.2,120.7,79012.7,7314.2,6912.0,12823.3,,,10714.5,10152.2,13107.1
2024-03-17,49.8,2372386.5,1586339.0,472335.2,54.4,773515.3,1244830.1,120.0,79264.9,3900.0,4419.2,12733.0,,,7314.2,6912.0,12823.3
2024-03-18,28.9,2374653.6,1587369.8,472514.2,29.9,774703.1,1246165.5,118.6,79363.2,1778.4,1870.0,12539.0,,,3900.0,4419.2,12733.0
2024-03-19,28.8,2375433.7,1588470.6,472783.5,29.4,776130.4,1247354.3,103.4,79557.2,1778.4,1825.0,10570.4,,,1778.4,1870.0,12539.0
2024-03-20,101.0,2375456.2,1588470.6,472783.5,95.7,776157.5,1247390.6,96.8,81552.4,10257.0,9565.0,9695.0,,,1778.4,1825.0,10570.4
2024-03-21,84.1,2376916.9,1588518.9,472868.9,73.2,777379.0,1248339.9,97.1,81997.6,8053.0,6686.8,9735.0,,,10257.0,9565.0,9695.0
2024-03-22,129.9,2378375.8,1588859.3,473144.9,86.3,779124.8,1249450.6,133.5,82361.6,14002.3,8334.6,14457.0,,,8053.0,6686.8,9735.0
2024-03-23,101.3,2381010.7,1589960.8,473542.8,63.0,781213.9,1250789.5,130.6,82715.0,10283.2,5439.0,14078.5,,,14002.3,8334.6,14457.0
2024-03-24,73.5,2383900.0,1590599.3,473720.4,39.6,782988.8,1251937.9,127.7,83060.1,6724.0,2819.6,13722.6,,,10283.2,5439.0,14078.5
2024-03-25,73.5,2386309.7,1591492.2,474050.7,39.6,784898.2,1252723.3,127.7,83485.7,6724.0,2819.6,13722.6,,,6724.0,2189.6,13722.6
2024-03-26,42.6,2387042.7,1592765.1,474050.7,35.9,785243.1,1252737.7,115.35,83831.2,3131.4,2438.6,12123.0,,,6724.0,2819.6,13722.6
2024-03-27,42.3,2388384.9,1593074.3,474050.7,35.9,785243.1,1252737.7,99.0,85069.3,3089.8,2438.6,9995.0,,,3131.4,2438.6,12123.0
2024-03-28,76.6,2388400.1,1593074.3,474050.7,51.6,785243.1,1252737.7,128.3,87184.8,7099.5,4112.2,13799.4,,,3089.8,2438.6,9995.0
2024-03-29,110.6,2392850.2,1594618.0,474050.7,110.6,788606.3,1252737.7,123.1,88421.0,11498.5,11498.5,13120.0,,,7099.5,4112.2,13799.4
2024-03-30,81.2,2396872.8,1596275.9,474050.7,92.6,791254.0,1252737.7,118.9,89116.8,7695.4,9149.0,12591.0,,,11498.5,11498.5,13120.0
2024-03-31,51.7,2400067.5,1596875.9,474050.7,74.2,793303.3,1252991.9,117.4,89676.4,4123.4,6812.0,12396.0,,,7695.4,9149.0,12591.0
2024-04-01,39.50,2402933.40,1597364.40,474342.40,50.30,794927.10,1253775.40,116.40,89864.00,2809.50,3956.20,12266.00,,,4123.40,6812.00,12591.00
