DIP,VOLUME,DIFF
0,0.00,0.0
1,12.00,1.2
2,34.00,2.2
3,62.00,2.8
4,95.00,3.4
5,133.00,3.8
6,175.00,4.2
7,220.00,4.5
8,269.00,4.8
9,30.00,5.2
10,374.00,5.4
11,431.00,5.7
12,491.00,5.9
13,553.00,6.2
14,617.00,6.4
15,683.00,6.6
16,751.00,6.8
17,822.00,7.0
18,894.00,7.2
19,968.00,7.4
20,1044.00,7.6
21,1121.00,7.7
22,1201.00,7.9
23,1281.00,8.1
24,1364.00,8.2
25,1448.00,8.4
26,1533.00,8.5
27,1620.00,8.7
28,1708.00,8.8
29,1798.00,9.0
30,1889.00,9.1
31,1989.40,9.2
32,2074.00,9.3
33,2169.00,9.5
34,2264.00,9.6
35,2361.00,9.7
36,2459.00,9.8
37,2588.00,9.9
38,2658.00,10.0
39,2759.00,10.1
40,2862.00,10.2
41,2965.00,10.3
41,2965.00,10.3
42,3069.00,10.4
43,3174.00,10.6
44,3280.00,10.6
45,3387.00,10.7
46,3494.00,10.8
47,3603.00,10.9
48,3712.00,10.9
49,3823.00,11.0
50,3934.00,11.1
51,4045.00,11.2
52,4158.00,11.2
53,4271.00,11.3
54,4385.00,11.4
55,4500.00,11.5
56,4615.00,11.5
57,4731.00,11.6
58,4847.00,11.7
59,4965.00,11.7
60,5082.00,11.8
61,5201.00,11.8
62,5320.00,11.9
63,5439.00,12.0
64,5559.00,12.0
65,5680.00,12.1
66,5801.00,12.1
67,5923.00,12.2
68,6045.00,12.2
69,6167.00,12.3
70,6290.00,12.3
71,6414.00,12.3
72,6538.00,12.4
73,6662.00,12.4
74,6787.00,12.5
75,6912.00,12.5
76,7037.00,12.5
77,7163.00,12.6
78,7289.00,12.6
79,7416.00,12.6
80,7543.00,12.7
81,7670.00,12.7
81,7670.00,12.8
82,7797.00,12.7
83,7925.00,12.8
84,8053.00,12.8
85,8181.00,12.8
86,8309.00,12.8
87,8438.00,12.9
88,8567.00,12.9
89,8696.00,12.9
90,8825.00,12.9
91,8955.00,13.0
92,9084.00,13.0
93,9214.00,13.0
94,9344.00,13.0
95,9474.00,13.0
96,9604.00,13.0
97,9735.00,13.0
98,9865.00,13.0
99,9995.00,13.1
100,10126.00,13.1
101,10257.00,13.1
102,10387.00,13.1
103,10518.00,13.1
104,10649.00,13.1
105,10779.00,13.1
106,10910.00,13.1
107,11041.00,13.1
108,11171.00,13.1
109,11302.00,13.1
110,11433.00,13.1
111,11563.00,13.1
112,11693.00,13.0
113,11824.00,13.0
114,11954.00,13.0
115,12084.00,13.0
116,12214.00,13.0
117,12344.00,13.0
118,12474.00,13.0
119,12604.00,13.0
120,12733.00,12.9
121,12862.00,12.9
121,112862.00,12.9
122,12991.00,12.9
123,13120.00,12.9
124,13249.00,12.9
125,13377.00,12.9
126,13505.00,12.8
127,13633.00,12.8
128,13761.00,12.8
129,13888.00,12.7
130,14015.00,12.7
131,14142.00,12.7
132,14268.00,12.6
133,14394.00,12.6
134,14520.00,12.6
135,14646.00,12.0
136,14771.00,12.5
137,14895.00,12.5
138,15019.00,12.4
139,15143.00,12.4
140,15267.00,12.4
141,15390.00,12.3
142,15512.00,12.2
143,15632.00,12.2
144,15756.00,12.2
145,15877.00,12.1
146,15997.00,12.1
147,16117.00,12.0
148,16236.00,12.0
149,16355.00,11.9
150,16474.00,11.9
151,16591.00,11.8
152,16708.00,11.7
153,16825.00,11.6
154,1694.00,11.6
155,17056.00,11.6
156,17170.00,11.5
157,17284.00,11.4
158,17397.00,11.4
159,17510.00,11.3
160,17621.00,11.2
161,17732.00,11.1
161,17732.00,11.1
162,17842.00,11.1
163,17951.00,10.9
164,18060.00,10.9
165,18167.00,10.8
166,18274.00,10.7
167,18380.00,10.6
168,18484.00,10.5
169,18588.00,10.4
170,18691.00,10.3
171,18793.00,10.2
172,18894.00,10.1
173,18994.00,10.0
174,19093.00,9.9
175,19191.00,9.8
176,19287.00,9.7
177,19383.00,9.6
178,19477.00,9.4
179,19570.00,9.3
180,19662.00,9.2
181,19753.00,9.1
182,19842.00,8.9
183,19930.00,8.8
184,20016.00,8.7
185,20102.00,8.5
186,20185.00,8.4
187,20267.00,8.2
188,20348.00,8.1
189,20427.00,7.9
190,20504.00,7.7
191,20579.00,7.6
192,20653.00,7.4
193,20725.00,7.2
194,20795.00,7.0
195,20863.00,6.8
196,20929.00,6.6
197,20992.00,6.4
198,21054.00,6.2
199,21113.00,6.0
200,21169.00,5.7
201,21223.00,5.4
201,21325.11,5.4
202,21274.00,5.1
203,21322.00,4.8
204,21366.00,4.5
205,21407.00,4.1
206,21444.00,3.7
207,21476.00,3.2
208,21504.00,2.7
209,21524.00,2.0
210,21646.93,1.2
211,#NUM!,###